model_id	role	parameters	architecture	native_or_evaluated_context	pretraining_domain	current_evidence	status
CropGenomeFM_step14000	our_frozen_model	369505287	32 HyenaLite blocks + 8 dilated local-attention blocks; RC-equivariant	8192 bp Stage B; 65536 bp architecture gate	258 crop/plant assemblies; 30 species	formal 512/2048/8192 core and 512/6000 external	evaluated
CropGenomeFM_random_init	same_architecture_ablation	369505287	same as CropGenomeFM	512/2048/8192 and 512/6000	none	formal control	evaluated
AgroNT_1B	edible_plant_primary	991261206	40-layer ESM-style Transformer; 6-mer tokenizer	1024 tokens; evaluated 512/2048 bp; external 6000 excluded by zero-truncation audit	about 10.5M sequences from 48 primarily edible plant species; Ensembl Plants	formal 512/2048 core and 512 external	evaluated
PlantCAD2_Small	plant_primary	175980688	24-layer bidirectional RCPS Caduceus/Mamba2; d_model 768	evaluated to 8192 bp core and 6000 bp external	plant model; exact public model release bound by revision	formal all current contexts	evaluated
PlantCaduceus_l32	plant_primary	426689552	32-layer bidirectional RCPS Caduceus; d_model 1024	evaluated to 8192 bp core and 6000 bp external	plant model; exact public model release bound by revision	formal all current contexts	evaluated
NTv2_100M_multi_species	general_multispecies	97889484	22-layer Transformer; rotary position; 6-mer tokenizer	2050 positions; evaluated 512/2048 bp; external 6000 excluded by zero-truncation audit	850 non-plant/non-virus genomes; 300B training tokens	formal 512/2048 core and 512 external	evaluated
NTv2_500M_multi_species	required_next_release_general_multispecies	500M nominal; exact local weights not yet frozen	29-layer Transformer; d_model 1024; rotary position; 6-mer tokenizer	2048 tokens; must pass zero-truncation audit per task	850 non-plant/non-virus genomes; 900B training tokens	no result in current project	planned_not_evaluated
DNABERT2_117M	general_short_context	120219904	12-layer BERT; BPE-like DNA tokenizer	512 positions; evaluated 512 bp only	general DNA	formal 512 core and external	evaluated
HyenaDNA_medium_160k	general_long_context	14236768	Hyena sequence model	nominal 160k; evaluated 8192/6000	general DNA	formal all current contexts	evaluated
Caduceus_PS_131k	general_rc_long_context	7725344	bidirectional RCPS Caduceus	nominal 131k; evaluated 8192/6000	general DNA	formal all current contexts	evaluated
Evo2_1B_base	evolution_scale_general	1B nominal	25-layer StripedHyena2; character tokenizer	evaluated configuration max 8192 bp	multi-domain genomic sequence	formal all current contexts	evaluated
