task_id	task_name_cn	status	panel_code
splice_donor_acceptor	剪接供体/受体识别	completed	A1
promoter_TSS	启动子/TSS识别	completed	A2
TES_polyA	TES/poly(A)识别	completed	A3
lncrna_multispecies	多物种lncRNA识别	completed	A4
enhancer_cassava_proseq	木薯增强子识别	completed	A5
gene_expression_glycine_max	大豆基因表达预测	completed	A6
gene_expression_oryza_sativa	水稻基因表达预测	completed	A7
gene_expression_zea_mays	玉米基因表达预测	completed	A8
gene_expression_solanum_lycopersicum	番茄基因表达预测	completed	A9
gene_expression_arabidopsis_thaliana	拟南芥基因表达预测	completed	A10
crop_gene_architecture_7state	基因结构7态逐碱基分割	completed	B13
crop_long_intron_splice_pair_ranking	长内含子剪接配对排序	completed	B14
crop_complete_gene_boundary_pair_ranking	完整基因边界配对排序	completed	B15
crop_exon_order_same_gene_membership	外显子顺序/同基因归属	completed	B16
deferred_waiting_for_EDTA_TE_labels	TE边界	deferred_waiting_for_EDTA	B11
deferred_waiting_for_EDTA_TE_labels	TE超家族分类	deferred_waiting_for_EDTA	B12
low_homology_sensitivity_track	属隔离＋低同源敏感性轨道	completed_not_independent_cohort	B17
