task_id	legacy_slot	slug	title_cn	suite	task_kind	primary_metric	source_id	adapter	split_policy	context_bp	data_state	formal_state	execution_state	biological_question	notes
A01	A1	splice_donor_acceptor	剪接供体/受体识别	legacy_public_and_derived	binary_classification	macro_f1	cropgenome_local_derived_v1	canonical_existing	downstream_genus_disjoint	[512, 2048, 8192]	local_ready_completed_step19000	ready	implemented	长基因上下文能否定位真实剪接边界？	NA
A02	A2	promoter_tss	启动子/TSS识别	legacy_public_and_derived	binary_classification	macro_f1	cropgenome_local_derived_v1	canonical_existing	downstream_genus_disjoint	[512, 2048, 8192]	local_ready_completed_step19000	ready	implemented	序列能否区分转录起始邻域与匹配背景？	NA
A03	A3	tes_polya	转录终止/poly(A)识别	legacy_public_and_derived	binary_classification	macro_f1	cropgenome_local_derived_v1	canonical_existing	downstream_genus_disjoint	[512, 2048, 8192]	local_ready_completed_step19000	ready	implemented	序列能否识别3'端终止与加尾区域？	NA
A04	A4	lncrna_multispecies	多物种lncRNA识别	legacy_public_and_derived	binary_classification	macro_f1	plant_genomic_benchmark_78ec8156	canonical_existing	official	[512, 2048, 8192]	local_ready_completed_step19000	ready	implemented	DNA片段能否区分长链非编码RNA基因与背景？	NA
A05	A5	enhancer_cassava_proseq	木薯增强子识别	legacy_public_and_derived	binary_classification	macro_f1	plant_genomic_benchmark_78ec8156	canonical_existing	official	[512, 2048, 8192]	local_ready_completed_step19000	ready	implemented	DNA序列能否识别实验定义的木薯增强子？	NA
A06	A6	gene_expression_glycine_max	大豆多组织表达	legacy_public_and_derived	multioutput_regression	macro_pearson	plant_genomic_benchmark_78ec8156	canonical_existing	official	[512, 6000]	local_ready_completed_step19000	ready	implemented	启动子/基因邻域序列能否预测跨组织表达谱？	NA
A07	A7	gene_expression_oryza_sativa	水稻多组织表达	legacy_public_and_derived	multioutput_regression	macro_pearson	plant_genomic_benchmark_78ec8156	canonical_existing	official	[512, 6000]	local_ready_completed_step19000	ready	implemented	启动子/基因邻域序列能否预测跨组织表达谱？	NA
A08	A8	gene_expression_zea_mays	玉米多组织表达	legacy_public_and_derived	multioutput_regression	macro_pearson	plant_genomic_benchmark_78ec8156	canonical_existing	official	[512, 6000]	local_ready_completed_step19000	ready	implemented	启动子/基因邻域序列能否预测跨组织表达谱？	NA
A09	A9	gene_expression_solanum_lycopersicum	番茄多组织表达	legacy_public_and_derived	multioutput_regression	macro_pearson	plant_genomic_benchmark_78ec8156	canonical_existing	official	[512, 6000]	local_ready_completed_step19000	ready	implemented	启动子/基因邻域序列能否预测跨组织表达谱？	NA
A10	A10	gene_expression_arabidopsis_thaliana	拟南芥多组织表达	legacy_public_and_derived	multioutput_regression	macro_pearson	plant_genomic_benchmark_78ec8156	canonical_existing	official	[512, 6000]	local_ready_completed_step19000	ready	implemented	启动子/基因邻域序列能否预测跨组织表达谱？	NA
B11	B11	crop_te_boundary	作物TE边界中心窗口	crop_specialty	binary_classification	auprc	edta_q04_2_0_1	edta_gff	assembly_disjoint	[512, 2048, 8192]	blocked_edta_in_progress	upstream_blocked	blocked_upstream_edta	区分真实TE起止边界与长度、染色体匹配的假边界。	NA
B12	B12	crop_te_superfamily	作物TE超家族识别	crop_specialty	multiclass_classification	macro_f1	edta_q04_2_0_1	edta_gff	assembly_disjoint	[512, 2048, 8192]	blocked_edta_in_progress	upstream_blocked	blocked_upstream_edta	独立EDTA标签下从TE中心序列区分主要TE超家族。	NA
B13	B13	crop_gene_architecture_7state	基因结构七状态逐碱基标注	crop_specialty	token_multiclass	macro_f1	cropgenome_local_derived_v1	canonical_existing	downstream_genus_disjoint	[512, 2048, 8192]	local_ready_completed_step19000	ready	implemented	模型能否同时恢复外显子、内含子、UTR和基因间区？	NA
B14	B14	crop_long_intron_splice_pair_ranking	长内含子剪接配对排序	crop_specialty	candidate_ranking	mrr	cropgenome_local_derived_v1	canonical_existing	downstream_genus_disjoint	[512, 2048, 8192]	local_ready_completed_step19000	ready	implemented	长距离候选中能否找回真实供体-受体配对？	NA
B15	B15	crop_complete_gene_boundary_pair_ranking	完整基因边界配对排序	crop_specialty	candidate_ranking	mrr	cropgenome_local_derived_v1	canonical_existing	downstream_genus_disjoint	[512, 2048, 8192]	local_ready_completed_step19000	ready	implemented	能否在相邻候选中配对正确的基因起止边界？	NA
